service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
L6A7_L6A7,0,0,0,0,0,0,0,20251122,20260221
L6A8NCH_L6A1,0,0,0,0,0,0,0,20251224,20251231
L6A8NCH_L6A2,0,0,0,0,0,0,0,20251224,20251231
L6A8NCH_L6A3,0,0,0,0,0,0,0,20251224,20251231
L6A8NCH_L6A4,0,0,0,0,0,0,0,20251224,20251231
L6A8NCH_L6A5,0,0,0,0,0,0,0,20251224,20251231
L6A8NCH_L6A6,0,0,0,0,0,0,0,20251224,20251231
L6A8NCH_L6A7,0,0,0,0,0,0,0,20251224,20251231
L6A8NCH_L6A8,0,0,0,0,0,0,0,20251224,20251231
L6A9_L6A1,0,0,0,0,0,0,0,20251120,20260223
L6A9_L6A2,0,0,0,0,0,0,0,20251120,20260223
L6A9_L6A3,0,0,0,0,0,0,0,20251120,20260223
L6A9_L6A4,0,0,0,0,0,0,0,20251120,20260223
L6A9_L6A5,0,0,0,0,0,0,0,20251120,20260223
L6A9_L6A6,0,0,0,0,0,0,0,20251120,20260223
L6A9_L6A7,0,0,0,0,0,0,0,20251120,20260223
L6A9_L6A8,0,0,0,0,0,0,0,20251120,20260223
L6A9_L6A9,0,0,0,0,0,0,0,20251120,20260223
L7A6_L7A1,0,0,0,0,0,0,0,20251122,20260222
L7A6_L7A2,0,0,0,0,0,0,0,20251122,20260222
L7A6_L7A3,0,0,0,0,0,0,0,20251122,20260222
L7A6_L7A4,0,0,0,0,0,0,0,20251122,20260222
L7A6_L7A5,0,0,0,0,0,0,0,20251122,20260222
L7A6_L7A6,0,0,0,0,0,0,0,20251122,20260222
L7A6NAV_L7A1,0,0,0,0,0,0,0,20251225,20260101
L7A6NAV_L7A2,0,0,0,0,0,0,0,20251225,20260101
L7A6NAV_L7A3,0,0,0,0,0,0,0,20251225,20260101
L7A6NAV_L7A4,0,0,0,0,0,0,0,20251225,20260101
L7A6NAV_L7A5,0,0,0,0,0,0,0,20251225,20260101
L7A6NAV_L7A6,0,0,0,0,0,0,0,20251225,20260101
L7A7NCH_L7A1,0,0,0,0,0,0,0,20251224,20251231
L7A7NCH_L7A2,0,0,0,0,0,0,0,20251224,20251231
L7A7NCH_L7A3,0,0,0,0,0,0,0,20251224,20251231
L7A7NCH_L7A4,0,0,0,0,0,0,0,20251224,20251231
L7A7NCH_L7A5,0,0,0,0,0,0,0,20251224,20251231
L7A7NCH_L7A6,0,0,0,0,0,0,0,20251224,20251231
L7A7NCH_L7A8,0,0,0,0,0,0,0,20251224,20251231
L7A9_L7A1,0,0,0,0,0,0,0,20251120,20260223
L7A9_L7A2,0,0,0,0,0,0,0,20251120,20260223
L7A9_L7A3,0,0,0,0,0,0,0,20251120,20260223
L7A9_L7A4,0,0,0,0,0,0,0,20251120,20260223
L7A9_L7A5,0,0,0,0,0,0,0,20251120,20260223
L7A9_L7A6,0,0,0,0,0,0,0,20251120,20260223
L7A9_L7A7,0,0,0,0,0,0,0,20251120,20260223
L7A9_L7A8,0,0,0,0,0,0,0,20251120,20260223
L7A9_L7A9,0,0,0,0,0,0,0,20251120,20260223
L8A6_L8A1,0,0,0,0,0,0,0,20251122,20260222
L8A6_L8A2,0,0,0,0,0,0,0,20251122,20260222
L8A6_L8A3,0,0,0,0,0,0,0,20251122,20260222
L8A6_L8A4,0,0,0,0,0,0,0,20251122,20260222
L8A6_L8A5,0,0,0,0,0,0,0,20251122,20260222
L8A6_L8A6,0,0,0,0,0,0,0,20251122,20260222
L8A6NAV_L8A1,0,0,0,0,0,0,0,20251225,20260101
L8A6NAV_L8A2,0,0,0,0,0,0,0,20251225,20260101
L8A6NAV_L8A3,0,0,0,0,0,0,0,20251225,20260101
L8A6NAV_L8A4,0,0,0,0,0,0,0,20251225,20260101
L8A6NAV_L8A5,0,0,0,0,0,0,0,20251225,20260101
L8A6NAV_L8A6,0,0,0,0,0,0,0,20251225,20260101
L8A8_L8A1,0,0,0,0,0,0,0,20251120,20260223
L8A8_L8A2,0,0,0,0,0,0,0,20251120,20260223
L8A8_L8A3,0,0,0,0,0,0,0,20251120,20260223
