service_id,date,exception_type
L7A9_L7A4,20250225,1
L7A9_L7A5,20250225,1
L7A9_L7A6,20250225,1
L7A9_L7A7,20250225,1
L7A9_L7A8,20250225,1
L7A9_L7A9,20250225,1
L7A9_L7A1,20250226,1
L7A9_L7A2,20250226,1
L7A9_L7A3,20250226,1
L7A9_L7A4,20250226,1
L7A9_L7A5,20250226,1
L7A9_L7A6,20250226,1
L7A9_L7A7,20250226,1
L7A9_L7A8,20250226,1
L7A9_L7A9,20250226,1
L7A9_L7A1,20250227,1
L7A9_L7A2,20250227,1
L7A9_L7A3,20250227,1
L7A9_L7A4,20250227,1
L7A9_L7A5,20250227,1
L7A9_L7A6,20250227,1
L7A9_L7A7,20250227,1
L7A9_L7A8,20250227,1
L7A9_L7A9,20250227,1
L7A9_L7A1,20250228,1
L7A9_L7A2,20250228,1
L7A9_L7A3,20250228,1
L7A9_L7A4,20250228,1
L7A9_L7A5,20250228,1
L7A9_L7A6,20250228,1
L7A9_L7A7,20250228,1
L7A9_L7A8,20250228,1
L7A9_L7A9,20250228,1
L7A9_L7A1,20250303,1
L7A9_L7A2,20250303,1
L7A9_L7A3,20250303,1
L7A9_L7A4,20250303,1
L7A9_L7A5,20250303,1
L7A9_L7A6,20250303,1
L7A9_L7A7,20250303,1
L7A9_L7A8,20250303,1
L7A9_L7A9,20250303,1
L7A9_L7A1,20250304,1
L7A9_L7A2,20250304,1
L7A9_L7A3,20250304,1
L7A9_L7A4,20250304,1
L7A9_L7A5,20250304,1
L7A9_L7A6,20250304,1
L7A9_L7A7,20250304,1
L7A9_L7A8,20250304,1
L7A9_L7A9,20250304,1
L7A9_L7A1,20250305,1
L7A9_L7A2,20250305,1
L7A9_L7A3,20250305,1
L7A9_L7A4,20250305,1
L7A9_L7A5,20250305,1
L7A9_L7A6,20250305,1
L7A9_L7A7,20250305,1
L7A9_L7A8,20250305,1
L7A9_L7A9,20250305,1
L7A9_L7A1,20250306,1
L7A9_L7A2,20250306,1
L7A9_L7A3,20250306,1
L7A9_L7A4,20250306,1
L7A9_L7A5,20250306,1
L7A9_L7A6,20250306,1
L7A9_L7A7,20250306,1
L7A9_L7A8,20250306,1
L7A9_L7A9,20250306,1
L7A9_L7A1,20250307,1
L7A9_L7A2,20250307,1
L7A9_L7A3,20250307,1
L7A9_L7A4,20250307,1
L7A9_L7A5,20250307,1
L7A9_L7A6,20250307,1
L7A9_L7A7,20250307,1
L7A9_L7A8,20250307,1
L7A9_L7A9,20250307,1
L7A9_L7A1,20250310,1
L7A9_L7A2,20250310,1
L7A9_L7A3,20250310,1
L7A9_L7A4,20250310,1
L7A9_L7A5,20250310,1
L7A9_L7A6,20250310,1
L7A9_L7A7,20250310,1
L7A9_L7A8,20250310,1
L7A9_L7A9,20250310,1
L7A9_L7A1,20250311,1
L7A9_L7A2,20250311,1
L7A9_L7A3,20250311,1
L7A9_L7A4,20250311,1
L7A9_L7A5,20250311,1
L7A9_L7A6,20250311,1
L7A9_L7A7,20250311,1
L7A9_L7A8,20250311,1
